Project Name,Artist Name,Additional Artists,Project Type,Abridged Project Text,Location (Internal),Schedule,Duration,Status,GPS Coordinates/Link (from Location NEW),Year or Permanent,R2,Latitude,Longitude
Emergence,Richard Wilks,"Michael Conn, Steve Kerylow",Installation/Immersive Environment ,"Emergence is an other-worldly luminous sculpture experience that mysteriously started surfacing at Bombay Beach. The sculptures appear to be intelligent, organic and mechanical in form with spinal columns and finger-like limbs embracing crystal cubes. Not all have surfaced...Will more appear?",The Beach ,,,Confirmed,,Temporary 2026,,,
The Philosophical Computer.,Marc Vinciguerra,,Lecture/Talk,The Philosophical Computer is a philosophical sculpture entirely permutable that is made of 54 symbols of the great philosophical revolutions of the western world from the totemic God to Post-modernity. The goal is to articulate these symbols together to create new contemporary cultural synthesis.,The Portal,,0:30,Confirmed,https://maps.app.goo.gl/WP7U3UiSru8ZXVgb7?g_st=ic,,,33.3492836,-115.7270508
Secret Society of the Palms,Sydney Parcell,,Installation/Immersive Environment ,Explore the secret of the palms and bathe in their light,Vulcan,,,Confirmed,,Permanent,,,
water lilies,"Christine Heath lovenkaos,Christine Heath",,Object ,"Water Lilies is a floating mosaic sculpture, round colorful mirrors intertwined with the sea reflecting the light and environment around. the mosaic floats upon the waves creating a mirage like sensation changing with light and movement. ",The Beach ,,,Confirmed,,Temporary 2026,,,
A Gentle Place Before the End,Corinna Kester,"Jason Asbahr, Sarah Dopp, Corinna Kester",Installation/Immersive Environment ,"Somewhere between ruin and rebirth, there is a room to sit quietly. Carpets soften the desert; patterned lantern light drifts while a gentle soundscape carries whispered poetry. No performance, no verdict. Stay awhile, leave a trace in the Book of the Known, then return to dust and judgement.",Polaroid Museum,,,Confirmed,https://maps.app.goo.gl/iLzMcpWCByCG1EVS9?g_st=ic,Temporary 2026,,,
Lomochrome,Sydney Parcell,,Installation/Immersive Environment ,"Immerse yourself in color, light, and movement ",Rapha's,,,Confirmed,,Temporary 2026,,,
Westlandia Desert Oasis,Kate Marusina,"Quirky Corky, Val Rotar, Peter Djordjevich",Facilitated Experience,"Tired of wandering through life? Pause and arrive at Westlandia Desert Oasis, where weary feet and restless minds find renewal. Heal in our vibroacoustic dome, sip a last-call drink in the lounge, and leave your mark by gifting found objects to our vibrant peddlers’ paradise.",The Beach ,3/27/2026 5:00pm,23:50,Confirmed,,,,,
Derangers Before the Playa,Sandi Wheaton,Sandi Wheaton - Jake Wade,Venue,Reimagined Western Paintings by Jake Wade / Salton Sea Time Capsule Photographs by Sandi Wheaton,Bombay Soleil,3/28/2026 1:00pm,3:00,Confirmed,https://maps.app.goo.gl/gdLLfqFDyX5LadR36?g_st=ic,,,,
My kingdom for a crown ,"Tracey Keilly,Tracey Keilly",,Object ,"These collages remind one of a third grade bulletin board...on peyote. Formed in a blacked out tangent, the paint was applied by gravity and shaped by the subtle magnetic forces in the earth. Pigeons and magnets appear and reappear. They too respond to the earths magnetic fields",Neptune,,,Confirmed,https://maps.app.goo.gl/UcJpkT6hnUwXDPVo6?g_st=ic,Permanent,,33.3495432,-115.7318949
"The Jazz Club at the DORD , sponsored by YARGER PROJECTS ",TIM YARGER / Tyler Hammond Jazz Experience ,additional names forthcoming ,Music,"The Jazz Club at the DORD has added another remarkable musical experience to BBB , paralleling the The Opera, The Ballet  at the DJ sets ...",The Bombay Beach Estates,3/27/2026 10:00pm,2:00,Confirmed,https://maps.app.goo.gl/5pbYgb2r5bZLDweK8?g_st=ic,,,,
While It Lasts,Spencer Davila,,Installation/Immersive Environment ,"While It Last 
Everything stands for a while.",The Beach ,,,Confirmed,,Permanent,,,
THE VOICE THAT SURVIVED THE SUN ,Thee Suburbia ,,Performance,"THE VOICE THAT SURVIVED THE SUN is a solo ritual by Thee Suburbia using voice, screamo, flexible acrylic mirrors, a fog vest, and one breakable rubber glass object. The work moves through burning and collapse into a self driven resurrection and a final ceremonial breaking of internal judgment.",Temple to the Scientific Method,,15:00,Confirmed,https://maps.app.goo.gl/iLzMcpWCByCG1EVS9?g_st=ic,,,,
