reason,xlsx_date,row,col,xlsx_title,xlsx_time,candidate1_project,candidate1_score,candidate2_project,candidate2_score,candidate3_project,candidate3_score
low_confidence_or_ambiguous,2026-03-22,7,4,Endless Poetry,6-7 PM,The Poetry Salon,53.3,The Poetry House,53.3,The Poetry Brothel,50.0
low_confidence_or_ambiguous,2026-03-22,8,4,BBB Community Potluck,7-8 PM,The Holy Sinner’s Shrine,48.5,,,,
low_confidence_or_ambiguous,2026-03-22,9,4,BBB Community Meeting,8-9 PM,Not Currently Named,45.0,,,,
low_confidence_or_ambiguous,2026-03-24,16,4,Legends Coffee Club,10 AM-12 PM,Everything I Desire Is Already Mine,48.5,,,,
low_confidence_or_ambiguous,2026-03-24,24,4,Little Little Italy Italian Festival,6-7:30 PM,Italia Fest,46.8,,,,
low_confidence_or_ambiguous,2026-03-25,36,4,The Dulcinée Dialectic,4-7 PM,A Piece of Hell's Kitchen: The Family Fridge,50.0,The Final Weighing ,50.0,The Holy Sinner’s Shrine,47.8
duplicate_match_conflict,2026-03-26,49,5,The Magic Carpet Ride,6-10 PM,Magic Carpet Ride,92.0,The Magic Mailbox,63.2,THE VOICE THAT SURVIVED THE SUN ,53.8
low_confidence_or_ambiguous,2026-03-26,51,4,The Nest Opening Ceremony,7-8 PM,The X-Zoetrope Turbine,51.1,The Last Supper,50.0,The LiT Landing,50.0
low_confidence_or_ambiguous,2026-03-26,53,7,Opening Party,8:30 PM-12 AM,Pyrotechnic symphony ,53.8,Taco Da Party,53.8,Queen Marth,50.0
low_confidence_or_ambiguous,2026-03-26,55,5,Last Flight Home,9-11 PM,Re-inanim-ation,54.5,Butterfly Pavilion ,53.3,The Last Judgement,47.1
low_confidence_or_ambiguous,2026-03-26,56,4,The Last Canter,10 PM-12 AM,The Last Supper,73.3,The Last Judge,69.0,The Last Judgement,66.7
duplicate_match_conflict,2026-03-27,60,6,The Salton Sea Museum & Library,8 AM-2 PM,The Salton Sea Museum and Library ,100.0,Salton Sea Synth,53.1,The Social Equilibrium Calibration Unit,52.8
no_candidate,2026-03-27,62,5,Group Meditation: Morning Session,10-10:30 AM,,,,,,
low_confidence_or_ambiguous,2026-03-27,64,5,Vibroacoustic Experience*,11 AM-1 PM,Mural Painting Experience,57.1,An Acoustic Drum Set,45.5,,
low_confidence_or_ambiguous,2026-03-27,64,7,Beats with Keeks,11 AM-12 PM,America is burning,56.2,SKY WHITE TIGER : PSYCHIC BRIDES,45.2,,
no_candidate,2026-03-27,69,5,"Writing from the Heart & Soul, Part 1",2-3 PM,,,,,,
low_confidence_or_ambiguous,2026-03-27,69,6,Radio Pool Party,2-4 PM,Taco Da Party,62.1,DIA LUNA : Sanctuary,47.1,Dino pez dispenser ,47.1
low_confidence_or_ambiguous,2026-03-27,69,14,GRUB (Snacks),2-5 PM,L oo K,47.6,The Human Cactus Memorial,47.6,How to Freestyle Rap,45.5
low_confidence_or_ambiguous,2026-03-27,71,7,BBAC Art Auction,3-5 PM,Magic Carpet Ride,48.5,Bomb Boat Bay,48.0,Bombay Beach Retrospective,47.6
no_candidate,2026-03-27,73,4,Does Fedex Believe in Soul?,4-5 PM,,,,,,
low_confidence_or_ambiguous,2026-03-27,73,5,Gaza Cafe,4-8 PM,L and the Angel Cat,63.2,The X-Zoetrope Turbine,52.6,Cafe Bosna,50.0
low_confidence_or_ambiguous,2026-03-27,73,6,The Silvertongued Devil Speaks,4-5pm,Silver Tongued Devil: A Speaker-Creature,72.5,The Salton Sea Museum and Library ,47.6,The Last Chord Divine,47.1
no_candidate,2026-03-27,75,4,"Building on Questionable Foundations: An introduction to Philosophy, Art, Architecture, and Life in Bombay Beach",5-6 PM,,,,,,
low_confidence_or_ambiguous,2026-03-27,75,7,Vibroacoustic Experience*,5-7 PM,Mural Painting Experience,57.1,An Acoustic Drum Set,45.5,,
no_candidate,2026-03-27,75,8,AARB (American Association of Retired Burners) present,5-7 PM,,,,,,
low_confidence_or_ambiguous,2026-03-27,75,14,GRUB (Dinner),5-11 PM,Respite Tea House ,52.2,A Gentle Place Before the End,48.0,Remnant,47.6
low_confidence_or_ambiguous,2026-03-27,76,6,"The Bombay Beach Vow"" Toso",5:30-7 PM,Bombay Beach Retrospective,62.7,Bombay Beach Binoculars,62.5,Bombay Beach Surf Club,59.6
duplicate_match_conflict,2026-03-27,76,16,Cafe Bosna,6 PM-6 AM,Cafe Bosna,100.0,Westlandia Desert Oasis,52.2,SHRiNKRAY,50.0
low_confidence_or_ambiguous,2026-03-27,77,10,Worldjourney,6-8 PM,The Kraken,46.2,Remnant,45.5,,
low_confidence_or_ambiguous,2026-03-27,77,12,Group Meditation: Afternoon Session,6-6:30 PM,Grounded: Loss at the Salton Sea,49.2,,,,
low_confidence_or_ambiguous,2026-03-27,77,15,Behn (DJ Set),6-9 PM,Wildebeets (DJ set),66.7,The X-Zoetrope Turbine,47.6,The LiT Landing,45.5
duplicate_match_conflict,2026-03-27,78,12,The Magic Carpet Ride*,6 PM-2 AM,Magic Carpet Ride,92.0,The Magic Mailbox,63.2,THE VOICE THAT SURVIVED THE SUN ,53.8
low_confidence_or_ambiguous,2026-03-27,79,4,The Last Party,7 PM-11 PM,The Last Supper,75.9,The Last Judge,66.7,The Last Judgement,66.7
no_candidate,2026-03-27,79,6,Sunset DJ & Cocktail Hour,7-8 PM,,,,,,
low_confidence_or_ambiguous,2026-03-27,79,7,Globalschism,7-9 PM,How to Freestyle Rap,52.2,An information-theoretic recapitulation of God in the form of a public figure,46.7,Lomochrome,45.5
low_confidence_or_ambiguous,2026-03-27,79,8,Martian Takeover,7-9 PM,Prepared Tape Loops,53.3,Quesadilla Communion,50.0,Tiny Closet On Wheels,50.0
duplicate_match_conflict,2026-03-27,79,13,Messages from Space,7-9 PM,Messages from Space,100.0,Derangers Before the Playa,48.9,The First Supper,45.7
low_confidence_or_ambiguous,2026-03-27,81,6,Bombay Beach,7:30-9:30 PM,The Poetry Salon,92.0,‘All In’ at the End of the World,92.0,Mapping the Sacrifice Zone,92.0
low_confidence_or_ambiguous,2026-03-27,81,9,S.S.S.S.S's Shared Telescope Sesh,8-9 PM,We Shall Have the Eyes to See,49.1,,,,
low_confidence_or_ambiguous,2026-03-27,81,10,Care Club,10 PM-2 AM,The Last Judgement,56.0,Cafe Bosna,52.6,Answer the Call ,50.0
low_confidence_or_ambiguous,2026-03-27,81,11,Karaoke,8 PM-1 AM,The Kraken,58.8,Kiamora,57.1,Pharaoh and Tarot,57.1
low_confidence_or_ambiguous,2026-03-27,81,15,hex null,8 PM-2 AM,The Toll,62.5,Everything I Desire Is Already Mine,45.5,,
low_confidence_or_ambiguous,2026-03-27,83,5,Jerzy del Mar,9-11:30 PM,The Karass Carcass,53.3,Queen Marth,50.0,Mapping the Sacrifice Zone,48.0
low_confidence_or_ambiguous,2026-03-27,83,7,Lescher Martitti Bar,9 PM-2 AM,Mapping the Sacrifice Zone,50.0,Oracle Booth,50.0,The Titty Twister,48.6
low_confidence_or_ambiguous,2026-03-27,83,8,BB Sauna Launch,9-10 PM,DIA LUNA : Sanctuary,48.5,Salton Sea Stellar Sky Society: Star Sight Site,48.3,,
duplicate_match_conflict,2026-03-27,83,13,ORACLE BOOTH,9 PM-12 AM,Oracle Booth,100.0,The Final Weighing ,52.2,San Litio (Saint Lithium),47.6
low_confidence_or_ambiguous,2026-03-27,84,4,Opera & Ballet,9:30-10:30 PM,Pharaoh and Tarot,60.6,SAND CASTLE,51.9,Operating Conditions,50.0
low_confidence_or_ambiguous,2026-03-27,84,9,LOST SOUL TRAIN,9:30 PM-12 AM,CHIRON TREE: A 12-POINT GRID INSTALLATION,48.3,Sound Tree,48.0,The Last Supper,46.7
low_confidence_or_ambiguous,2026-03-27,85,10,The Last Canter,10 PM-2 AM,The Last Supper,73.3,The Last Judge,69.0,The Last Judgement,66.7
low_confidence_or_ambiguous,2026-03-27,85,12,Apocalypse Boombox,10 PM-12 AM,Oracle Booth,53.3,Opartcalypse,53.3,Art Basil | Bombay,47.1
low_confidence_or_ambiguous,2026-03-27,85,15,Care Club,10 PM-2 AM,The Last Judgement,56.0,Cafe Bosna,52.6,Answer the Call ,50.0
low_confidence_or_ambiguous,2026-03-27,87,4,Flamenco Performance,11 PM-12 AM,Initials B.B. II,57.1,Taco Da Party,54.5,SYZYGY,46.7
low_confidence_or_ambiguous,2026-03-27,87,13,Late Night Bliss,11 PM-3 AM,water lilies,50.0,The Final Weighing ,47.1,Empathy Bleed,46.7
low_confidence_or_ambiguous,2026-03-27,87,14,Beats Without Borders:,11 PM-3 AM,America is burning,48.6,Re-inanim-ation,47.4,SKY WHITE TIGER : PSYCHIC BRIDES,47.1
low_confidence_or_ambiguous,2026-03-27,88,5,Heidi Lawden & LoveFingers (B2B),11:30 PM-3 AM,"Birth, Life and Becoming",47.3,The LiT Landing,46.8,The Last Chord Divine,45.3
low_confidence_or_ambiguous,2026-03-28,90,5,Heidi Lawden & LoveFingers (B2B),11:30 PM-3 AM,"Birth, Life and Becoming",47.3,The LiT Landing,46.8,The Last Chord Divine,45.3
low_confidence_or_ambiguous,2026-03-28,90,6,Globalschism,12-2 AM,How to Freestyle Rap,52.2,An information-theoretic recapitulation of God in the form of a public figure,46.7,Lomochrome,45.5
low_confidence_or_ambiguous,2026-03-28,90,7,Lescher Martitti Bar,9 PM-2 AM,Mapping the Sacrifice Zone,50.0,Oracle Booth,50.0,The Titty Twister,48.6
low_confidence_or_ambiguous,2026-03-28,90,9,LOST SOUL,12-2 AM,The Last Supper,50.0,PoP.  a MACEPS project,50.0,GHOST LAYERS,47.6
low_confidence_or_ambiguous,2026-03-28,90,10,The Last Canter,10 PM-2 AM,The Last Supper,73.3,The Last Judge,69.0,The Last Judgement,66.7
duplicate_match_conflict,2026-03-28,90,12,The Magic Carpet Ride*,6 PM-2 AM,Magic Carpet Ride,92.0,The Magic Mailbox,63.2,THE VOICE THAT SURVIVED THE SUN ,53.8
low_confidence_or_ambiguous,2026-03-28,90,13,Late Night Bliss,11 PM-3 AM,water lilies,50.0,The Final Weighing ,47.1,Empathy Bleed,46.7
low_confidence_or_ambiguous,2026-03-28,90,14,Beats Without Borders:,11 PM-3 AM,America is burning,48.6,Re-inanim-ation,47.4,SKY WHITE TIGER : PSYCHIC BRIDES,47.1
